,doogile,lowk3y_,hackingnoises,bing_pigs,7rowl,Oxidiot,BeefSalad,silverrruns,Feinberg,Ayreliaa,MrBudgiee,DziabaDziuba,ELO_PLUMBER4444,TUDORULE,Erikfzf,dandannyboy
0,2413,2413,2352.0,2295,2291.0,2149,2329.0,2283.0,2276.0,2260.0,2248.0,2241.0,1576.0,2212.0,1984,1881.0
1,2413,2461,2361.0,2295,2063.0,2181,2329.0,2288.0,2281.0,2260.0,2248.0,2241.0,1559.0,2212.0,1984,1883.0
2,2413,2461,2361.0,2226,2096.0,2203,2329.0,2288.0,2286.0,2260.0,2233.0,2241.0,1590.0,2169.0,1984,2086.0
3,2413,2461,2361.0,2226,2028.0,2201,2329.0,2288.0,2291.0,2260.0,2233.0,2168.0,1510.0,2212.0,1984,1979.0
4,2413,2461,2350.0,2235,2175.0,2140,2329.0,2288.0,2291.0,2260.0,2248.0,2168.0,1542.0,2213.0,2010,2021.0
5,2413,2436,2375.0,2155,2246.0,2196,2329.0,2288.0,2291.0,2260.0,2231.0,2168.0,1578.0,2072.0,2033,2021.0
6,2353,2408,2341.0,2277,2246.0,2209,2329.0,2288.0,2291.0,2275.0,2231.0,2145.0,1622.0,2072.0,2208,2021.0
7,2297,2347,2395.0,2277,2331.0,2197,2314.0,2288.0,2291.0,2275.0,2213.0,2150.0,1871.0,2114.0,2127,1975.0
8,2366,2475,2340.0,2169,2325.0,2197,2314.0,2269.0,2291.0,2275.0,2213.0,2150.0,1954.0,2114.0,2161,2054.0
9,2382,2475,2340.0,2169,2279.0,2016,2314.0,2274.0,2291.0,2275.0,2213.0,2150.0,2119.0,2062.0,2149,2090.0
10,2382,2465,2340.0,2098,2290.0,2132,2314.0,2274.0,2281.0,2275.0,2130.0,2150.0,2153.0,2037.0,2149,2090.0
11,2378,2442,2340.0,2227,2261.0,2095,2314.0,2274.0,2281.0,2275.0,2057.0,2150.0,2124.0,2037.0,2074,2159.0
12,2320,2442,2340.0,2227,2230.0,2095,2307.0,2274.0,2281.0,2261.0,2102.0,2150.0,2080.0,2051.0,2165,2107.0
13,2311,2442,2323.0,2013,2166.0,2071,2307.0,2274.0,2281.0,2261.0,2115.0,2150.0,2073.0,2051.0,2165,2184.0
14,2316,2374,2261.0,2134,2181.0,2083,2307.0,2274.0,2281.0,2261.0,2065.0,2065.0,2037.0,2081.0,2175,2132.0
15,2316,2374,2266.0,2096,2116.0,2083,2307.0,2274.0,2281.0,2261.0,2013.0,2065.0,2037.0,2081.0,2175,2132.0
16,2316,2374,2271.0,2272,2251.0,2083,2307.0,2219.0,2252.0,2261.0,2031.0,2065.0,2016.0,2081.0,2175,2204.0
17,2316,2374,2276.0,2272,2340.0,2083,2307.0,2203.0,2230.0,2261.0,1828.0,2065.0,2039.0,2129.0,2116,2207.0
18,2316,2301,2281.0,2232,2317.0,2083,2308.0,2203.0,2254.0,2261.0,1857.0,2065.0,2019.0,2146.0,2137,2132.0
19,2316,2301,2286.0,2232,2317.0,2083,2308.0,2203.0,2254.0,2242.0,1837.0,2065.0,2019.0,2146.0,2137,2069.0
20,2316,2361,2291.0,2188,2227.0,2174,2308.0,2203.0,2254.0,2242.0,1919.0,2114.0,2019.0,2146.0,2137,2069.0
21,2321,2361,2291.0,2188,2227.0,2054,2308.0,2203.0,2228.0,2242.0,2056.0,2139.0,2019.0,2146.0,2137,2010.0
22,2321,2311,2291.0,2111,2227.0,2054,2308.0,2227.0,2183.0,2242.0,1967.0,2139.0,2019.0,1991.0,2131,2036.0
23,2420,2409,2291.0,2020,2227.0,2029,2308.0,2212.0,2150.0,2224.0,2017.0,2139.0,1948.0,2061.0,2136,2036.0
24,2407,2409,2291.0,2196,2227.0,2043,2224.0,2203.0,2226.0,2207.0,2136.0,2139.0,1894.0,2168.0,2141,2055.0
25,2390,2339,2291.0,2335,2210.0,1983,2060.0,2203.0,2266.0,2157.0,2136.0,2139.0,1896.0,2168.0,2141,2041.0
26,2395,2351,2291.0,2308,2210.0,2011,2072.0,2203.0,2266.0,2172.0,2136.0,2139.0,1896.0,2168.0,2141,2159.0
