,doogile,lowk3y_,hackingnoises,bing_pigs,7rowl,Oxidiot,BeefSalad,silverrruns,Feinberg,Ayreliaa,MrBudgiee,DziabaDziuba,ELO_PLUMBER4444,TUDORULE,Erikfzf,dandannyboy
doogile,,0.556,1.0,0.417,0.5,0.333,0.302,0.45,0.481,0.0,0.25,0.5,0.286,,1.0,0.242
lowk3y_,0.444,,0.531,0.308,0.542,0.273,0.375,0.0,0.375,0.172,0.5,0.0,0.0,0.263,0.304,0.167
hackingnoises,0.0,0.469,,0.338,0.357,0.5,0.524,0.0,0.0,0.0,1.0,0.5,0.0,0.269,0.417,0.429
bing_pigs,0.583,0.692,0.662,,0.43,0.522,0.5,0.467,0.333,0.417,0.25,0.667,0.517,0.609,0.355,0.333
7rowl,0.5,0.458,0.643,0.57,,0.31,0.356,0.556,0.632,0.478,0.556,0.55,0.467,0.405,0.263,0.0
Oxidiot,0.667,0.727,0.5,0.478,0.69,,0.357,0.4,0.5,0.5,0.333,0.333,0.667,0.286,0.6,0.321
BeefSalad,0.698,0.625,0.476,0.5,0.644,0.643,,0.529,0.516,0.452,0.552,0.75,0.455,0.542,0.476,0.308
silverrruns,0.55,1.0,1.0,0.533,0.444,0.6,0.471,,0.286,0.0,0.25,,0.25,1.0,0.5,0.5
Feinberg,0.519,0.625,1.0,0.667,0.368,0.5,0.484,0.714,,0.28,0.333,0.5,0.2,,0.714,0.333
Ayreliaa,1.0,0.828,1.0,0.583,0.522,0.5,0.548,1.0,0.72,,0.4,0.75,0.25,0.722,0.667,0.458
MrBudgiee,0.75,0.5,0.0,0.75,0.444,0.667,0.448,0.75,0.667,0.6,,0.75,0.375,1.0,0.333,0.414
DziabaDziuba,0.5,1.0,0.5,0.333,0.45,0.667,0.25,,0.5,0.25,0.25,,0.0,0.571,0.4,0.375
ELO_PLUMBER4444,0.714,1.0,1.0,0.483,0.533,0.333,0.545,0.75,0.8,0.75,0.625,1.0,,0.556,0.875,0.76
TUDORULE,,0.737,0.731,0.391,0.595,0.714,0.458,0.0,,0.278,0.0,0.429,0.444,,0.312,0.0
Erikfzf,0.0,0.696,0.583,0.645,0.737,0.4,0.524,0.5,0.286,0.333,0.667,0.6,0.125,0.688,,0.429
dandannyboy,0.758,0.833,0.571,0.667,1.0,0.679,0.692,0.5,0.667,0.542,0.586,0.625,0.24,1.0,0.571,
