,doogile,lowk3y_,hackingnoises,bing_pigs,7rowl,Oxidiot,BeefSalad,silverrruns,Feinberg,Ayreliaa,MrBudgiee,DziabaDziuba,ELO_PLUMBER4444,TUDORULE,Erikfzf,dandannyboy
doogile,,5,3,5,3,5,19,9,13,0,5,1,2,0,2,15
lowk3y_,4,,17,24,13,3,12,0,3,5,1,0,0,10,7,2
hackingnoises,0,15,,22,20,1,11,0,0,0,1,1,0,7,5,3
bing_pigs,7,54,43,,43,12,33,7,6,10,1,2,15,39,11,11
7rowl,3,11,36,57,,9,16,5,12,11,5,11,7,17,5,0
Oxidiot,10,8,1,11,20,,10,4,10,2,4,2,2,2,6,9
BeefSalad,44,20,10,33,29,18,,9,32,19,16,6,10,13,10,20
silverrruns,11,6,1,8,4,6,8,,2,0,3,0,1,1,1,15
Feinberg,14,5,2,12,7,10,30,5,,7,6,2,2,0,5,4
Ayreliaa,4,24,5,14,12,2,23,7,18,,6,6,1,13,2,11
MrBudgiee,15,1,0,3,4,8,13,9,12,9,,3,3,1,1,24
DziabaDziuba,1,3,1,1,9,4,2,0,2,2,1,,0,4,2,3
ELO_PLUMBER4444,5,4,6,14,8,1,12,3,8,3,5,1,,5,14,19
TUDORULE,0,28,19,25,25,5,11,0,0,5,0,3,4,,5,0
Erikfzf,0,16,7,20,14,4,11,1,2,1,2,3,2,11,,3
dandannyboy,47,10,4,22,8,19,45,15,8,13,34,5,6,1,4,
