date,time,elo,bastion,ow
1679876367,1095915,,,SHIPWRECK
1679876449,1095900,1502,,SHIPWRECK
1679876691,693988,1547,,BURIED_TREASURE
1679876751,966696,1471,,DESERT_TEMPLE
1679876900,614135,,,VILLAGE
1679876945,957035,,,VILLAGE
1679877041,1052979,,,DESERT_TEMPLE
1679877298,878698,,,RUINED_PORTAL
1679877317,790671,,,RUINED_PORTAL
1679877360,1109034,,,DESERT_TEMPLE
1679877502,1177145,842,,SHIPWRECK
1679877520,715790,1562,,VILLAGE
1679877522,791797,,,BURIED_TREASURE
1679877706,1261978,,,SHIPWRECK
1679878001,1007087,,,VILLAGE
1679878043,671199,,,SHIPWRECK
1679878174,727606,,,RUINED_PORTAL
1679878502,932528,,,VILLAGE
1679878597,1217449,,,RUINED_PORTAL
1679880611,890290,,,DESERT_TEMPLE
1679880702,853698,,,VILLAGE
1679880725,968326,,,SHIPWRECK
1679880763,839972,,,SHIPWRECK
1679881445,876474,,,VILLAGE
1679881470,1111757,,,VILLAGE
1679881537,858971,,,SHIPWRECK
1679881685,1054757,,,SHIPWRECK
1679881990,1225217,,,SHIPWRECK
1679882135,1207934,,,DESERT_TEMPLE
1679882216,1082565,,,VILLAGE
1679882230,916851,,,SHIPWRECK
1679882293,1064956,,,DESERT_TEMPLE
1679882338,703787,,,SHIPWRECK
1679882370,1274018,,,VILLAGE
1679927512,1197415,1290,,SHIPWRECK
1679927592,878350,,,VILLAGE
1679927736,1221295,,,SHIPWRECK
1679927809,788158,,,VILLAGE
1679928027,907648,1328,,BURIED_TREASURE
1679928050,690647,1377,,SHIPWRECK
1679928124,1190039,,,VILLAGE
1679928193,1130009,,,VILLAGE
1679928338,974799,,,VILLAGE
1679928414,1150547,,,SHIPWRECK
1679928603,1973040,,,VILLAGE
1679928638,1018849,1271,,VILLAGE
1679928869,727516,1394,,BURIED_TREASURE
1679929091,819400,1140,,RUINED_PORTAL
1679929165,916593,1063,,VILLAGE
1679929291,935282,,,SHIPWRECK
1679929322,910378,,,RUINED_PORTAL
1679929379,788727,1255,,SHIPWRECK
1679929464,776456,1286,,RUINED_PORTAL
1679929478,987911,,,SHIPWRECK
1679929552,1268020,,,SHIPWRECK
1679929665,1328373,,,VILLAGE
1679929761,1054386,1090,,DESERT_TEMPLE
1679929792,957804,,,SHIPWRECK
1679929842,1190949,,,SHIPWRECK
1679930001,718583,,,RUINED_PORTAL
1679930051,1080983,1058,,VILLAGE
1679930157,1326022,,,SHIPWRECK
1679930159,1115023,,,VILLAGE
1679930171,1021063,1411,,BURIED_TREASURE
1679930240,818017,1120,,DESERT_TEMPLE
1679930354,1096168,1226,,DESERT_TEMPLE
1679930358,1022770,,,SHIPWRECK
1679930771,1190488,,,SHIPWRECK
1679955930,1110364,,,SHIPWRECK
1679956034,858422,1117,,SHIPWRECK
1679956380,1041261,1246,,DESERT_TEMPLE
1679956406,1534013,,,VILLAGE
1679956488,1570540,1224,,SHIPWRECK
1679956570,1010538,,,VILLAGE
1679956639,837143,1366,,SHIPWRECK
1679956692,891682,1078,,SHIPWRECK
1679956805,855927,1037,,SHIPWRECK
1679956825,1444946,956,,DESERT_TEMPLE
1679956867,1024324,1007,,VILLAGE
1679957342,1089261,1358,,VILLAGE
1679957399,973201,1193,,VILLAGE
1679957399,966849,,,VILLAGE
1679957464,1376965,1284,,BURIED_TREASURE
1679957484,921002,1241,,SHIPWRECK
1679957599,1012971,,,RUINED_PORTAL
1679957638,744930,1215,,RUINED_PORTAL
1679957688,1230457,1064,,SHIPWRECK
1679957782,688733,1008,,SHIPWRECK
1679957799,1220206,1162,,VILLAGE
1679958259,1014691,1387,,BURIED_TREASURE
1679958288,723949,1392,,BURIED_TREASURE
1679958426,1111929,1214,,RUINED_PORTAL
1679958460,979571,,,VILLAGE
1679958511,1120965,1127,,VILLAGE
1679958514,886945,1216,,SHIPWRECK
1679958525,654976,1032,,SHIPWRECK
1679958587,945642,1118,,VILLAGE
1679958630,1166192,,,SHIPWRECK
1680004254,1091090,1241,,SHIPWRECK
1680004274,985533,1142,,DESERT_TEMPLE
1680004341,1706306,,,RUINED_PORTAL
1680005184,917569,,,BURIED_TREASURE
1680005240,1525529,923,,RUINED_PORTAL
1680005308,903023,1286,,RUINED_PORTAL
1680005959,1097132,1056,,SHIPWRECK
1680005996,966050,1170,,SHIPWRECK
1680006305,1195511,1104,,SHIPWRECK
1680006501,1263046,1010,,SHIPWRECK
1680006518,1575409,,,VILLAGE
1680006592,1046819,1348,,BURIED_TREASURE
1680007131,869893,1144,,RUINED_PORTAL
1680007134,1129077,1076,,RUINED_PORTAL
1680007319,664327,1354,,BURIED_TREASURE
1680007534,1095066,1145,,SHIPWRECK
1680007628,1250333,874,,VILLAGE
1680007691,1373825,952,,VILLAGE
1680008296,1116071,1317,,BURIED_TREASURE
1680008338,1138352,1121,,VILLAGE
1680008695,985595,,,VILLAGE
1680008812,960681,1375,,SHIPWRECK
1680008964,951721,1204,,DESERT_TEMPLE
1680008985,1053817,,,SHIPWRECK
1680009076,1043526,,,SHIPWRECK
1680009179,1324144,1213,,VILLAGE
1680034368,1814265,1208,,SHIPWRECK
1680034499,664151,,,BURIED_TREASURE
1680034528,1047495,1193,,SHIPWRECK
1680034529,825814,,,DESERT_TEMPLE
1680034662,806500,1203,,RUINED_PORTAL
1680034732,1310236,966,,VILLAGE
1680034736,1308252,,,DESERT_TEMPLE
1680034973,1652838,938,,VILLAGE
1680035140,915802,1346,,VILLAGE
1680035211,1466943,986,,RUINED_PORTAL
1680035263,1670746,1150,,DESERT_TEMPLE
