Vanilla,,Ranked,,,,Perch,Halfbow,,Force Perch,02:45
Perch,Halfbow,Perch,Halfbow,,Min,00:00,00:00,,,
00:52,01:05,00:52,01:05,,Max,05:54,03:56,,,
01:28,01:23,01:28,01:23,,Median,01:23,01:16,,,
01:06,02:07,01:06,02:07,,Mean (Vanilla),01:37,01:28,,,
01:09,01:31,01:09,01:31,,Mean (Ranked),01:33,01:26,,,
02:02,01:09,02:02,01:09,,,,,,,
00:52,00:56,00:52,00:56,,,,,,,
01:51,02:36,01:51,02:36,,,,,,,
00:53,01:00,00:53,01:00,,,,,,,
02:48,01:55,02:45,01:55,,,,,,,
02:59,01:03,02:45,01:03,,,,,,,
02:39,01:07,02:39,01:07,,,,,,,
00:46,01:18,00:46,01:18,,,,,,,
03:24,00:52,02:45,00:52,,,,,,,
02:42,01:04,02:42,01:04,,,,,,,
01:25,01:17,01:25,01:17,,,,,,,
02:23,01:00,02:23,01:00,,,,,,,
01:55,02:17,01:55,02:17,,,,,,,
01:04,00:58,01:04,00:58,,,,,,,
00:56,01:27,00:56,01:27,,,,,,,
03:15,02:36,02:45,02:36,,,,,,,
01:57,01:30,01:57,01:30,,,,,,,
01:23,01:46,01:23,01:46,,,,,,,
02:11,02:13,02:11,02:13,,,,,,,
02:08,00:49,02:08,00:49,,,,,,,
01:23,01:35,01:23,01:35,,,,,,,
01:07,02:08,01:07,02:08,,,,,,,
01:06,00:57,01:06,00:57,,,,,,,
01:16,01:09,01:16,01:09,,,,,,,
00:53,03:04,00:53,02:45,,,,,,,
02:13,01:50,02:13,01:50,,,,,,,
01:46,01:07,01:46,01:07,,,,,,,
00:25,01:02,00:25,01:02,,,,,,,
02:44,01:06,02:44,01:06,,,,,,,
02:04,01:36,02:04,01:36,,,,,,,
02:30,00:58,02:30,00:58,,,,,,,
00:30,01:51,00:30,01:51,,,,,,,
02:09,01:06,02:09,01:06,,,,,,,
02:44,03:38,02:44,02:45,,,,,,,
01:45,02:31,01:45,02:31,,,,,,,
02:23,01:04,02:23,01:04,,,,,,,
01:18,01:56,01:18,01:56,,,,,,,
02:14,02:04,02:14,02:04,,,,,,,
01:18,01:22,01:18,01:22,,,,,,,
00:57,01:13,00:57,01:13,,,,,,,
02:12,01:02,02:12,01:02,,,,,,,
00:40,00:39,00:40,00:39,,,,,,,
00:48,00:59,00:48,00:59,,,,,,,
01:12,00:58,01:12,00:58,,,,,,,
01:38,00:56,01:38,00:56,,,,,,,
01:19,01:12,01:19,01:12,,,,,,,
01:15,01:01,01:15,01:01,,,,,,,
01:37,01:04,01:37,01:04,,,,,,,
01:36,01:23,01:36,01:23,,,,,,,
02:07,02:10,02:07,02:10,,,,,,,
01:03,01:25,01:03,01:25,,,,,,,
01:47,00:54,01:47,00:54,,,,,,,
01:08,01:08,01:08,01:08,,,,,,,
01:40,01:19,01:40,01:19,,,,,,,
01:08,01:03,01:08,01:03,,,,,,,
00:39,00:54,00:39,00:54,,,,,,,
01:38,01:39,01:38,01:39,,,,,,,
00:38,01:30,00:38,01:30,,,,,,,
02:21,03:15,02:21,02:45,,,,,,,
00:49,01:00,00:49,01:00,,,,,,,
00:50,01:07,00:50,01:07,,,,,,,
00:52,02:25,00:52,02:25,,,,,,,
00:26,01:09,00:26,01:09,,,,,,,
00:47,02:03,00:47,02:03,,,,,,,
01:20,00:54,01:20,00:54,,,,,,,
00:35,00:51,00:35,00:51,,,,,,,
01:13,00:48,01:13,00:48,,,,,,,
01:12,01:33,01:12,01:33,,,,,,,
01:56,01:01,01:56,01:01,,,,,,,
01:31,01:16,01:31,01:16,,,,,,,
04:12,01:40,02:45,01:40,,,,,,,
01:31,03:01,01:31,02:45,,,,,,,
01:23,01:20,01:23,01:20,,,,,,,
02:11,01:51,02:11,01:51,,,,,,,
01:05,01:53,01:05,01:53,,,,,,,
01:04,01:58,01:04,01:58,,,,,,,
01:02,00:55,01:02,00:55,,,,,,,
02:04,01:16,02:04,01:16,,,,,,,
02:44,03:56,02:44,02:45,,,,,,,
03:19,02:35,02:45,02:35,,,,,,,
00:54,00:46,00:54,00:46,,,,,,,
01:31,01:04,01:31,01:04,,,,,,,
01:43,02:12,01:43,02:12,,,,,,,
01:21,01:13,01:21,01:13,,,,,,,
01:01,01:43,01:01,01:43,,,,,,,
01:19,01:16,01:19,01:16,,,,,,,
00:30,00:45,00:30,00:45,,,,,,,
01:41,01:13,01:41,01:13,,,,,,,
01:20,00:47,01:20,00:47,,,,,,,
02:43,01:31,02:43,01:31,,,,,,,
02:18,01:13,02:18,01:13,,,,,,,
01:12,01:14,01:12,01:14,,,,,,,
05:54,01:40,02:45,01:40,,,,,,,
01:30,01:17,01:30,01:17,,,,,,,
02:00,01:11,02:00,01:11,,,,,,,
00:26,01:36,00:26,01:36,,,,,,,
00:00,00:00,00:00,00:00,,,,,,,
