avg,elo,ff,loss
517263,904,132,135
623818,2323,12,109
637555,2202,11,170
646815,2260,116,209
650988,2136,392,751
651997,1883,4,16
653274,2054,179,244
657412,1835,1,25
657562,1820,165,183
657839,2026,32,133
663405,1421,2,6
674013,1910,10,107
675832,2035,7,98
676132,1892,21,184
682146,1981,3,46
682568,1904,3,32
683915,2264,27,656
688188,1873,104,266
688635,2093,41,594
689239,1815,229,411
690018,1747,20,43
691891,1669,18,47
694313,1881,95,234
694868,1606,99,178
694875,1466,1,4
699177,1901,90,317
700538,1893,59,272
701099,1991,92,254
701645,1987,14,86
702136,1712,42,70
702429,2046,9,65
705882,2017,113,317
706751,1216,5,6
708438,1991,57,221
710152,1443,9,13
711813,1667,114,151
712930,1932,86,133
712951,2119,26,137
714272,1915,124,491
714865,2064,15,154
715413,1811,43,111
717533,1754,45,102
717580,1483,7,7
718081,1891,127,227
719745,1814,486,774
726030,1320,4,5
730602,1955,7,78
731018,1467,0,2
731123,1798,102,294
731638,1666,201,682
732374,1372,1,2
733147,1750,85,339
734096,1814,8,22
734190,1718,4,31
734711,1518,42,64
736606,1647,3,9
737638,1336,128,160
737859,1930,50,145
739401,1884,7,94
740679,1631,18,70
741558,1648,3,43
742147,1855,207,521
743444,1608,73,116
744115,2002,25,129
744963,1463,1,1
745256,1626,66,224
745296,1463,4,11
745669,1501,1,11
746878,2028,247,709
749037,1531,229,348
749692,1439,5,5
749828,1412,71,120
751375,1222,0,2
752272,1189,4,5
753252,1542,254,421
753646,1394,4,4
756650,1857,84,289
759122,1690,21,156
759457,1542,18,80
759915,1785,55,427
759978,1866,87,343
760257,1331,464,617
760727,1867,18,265
761436,1641,80,129
761681,1753,15,181
763373,1821,140,266
763831,1597,23,60
764273,1468,9,29
764835,1500,4,21
765834,1422,2,5
766003,1669,29,83
768007,1111,254,307
768411,1376,90,250
768929,1432,1,38
769066,1118,52,90
769077,1379,59,101
769642,1676,4,104
769901,1936,6,87
770395,1513,259,542
771265,1636,48,84
771695,1381,75,85
771725,1584,541,648
772627,1497,225,424
772772,1439,1,3
773075,1589,8,26
774065,1701,9,59
774343,1562,1,6
774416,1402,33,73
774717,1500,189,254
774888,1822,4,40
775709,1632,69,290
775802,1485,5,71
776474,1571,209,511
776994,1619,15,23
777190,1535,0,8
777741,1460,2,5
778290,1433,13,66
779562,1604,186,427
780456,1516,266,413
781112,1534,19,85
781442,1790,4,57
781715,1503,0,3
782143,1298,271,465
782345,1292,3,9
783101,1627,35,102
783128,1503,56,218
783195,1639,165,277
784280,1476,82,130
784557,1500,15,25
784615,1486,3,3
785082,1625,97,292
785658,1383,166,317
785754,1500,19,36
786124,1684,92,323
786483,1497,23,34
788597,1738,31,132
790099,1300,3,5
790134,1281,11,14
790323,1382,56,83
790331,1429,0,3
792117,1702,50,100
792153,1226,4,9
792463,1701,45,151
792491,1599,37,100
794529,1702,73,316
794802,1545,20,52
795045,1509,77,246
795073,1425,9,33
