Rank,S1,S2,S3,S4,S5,S6
1,2309,2138,2264,2322,2325,2248
2,2309,2070,2259,2322,2292,2223
3,2150,2044,2234,2322,2270,2178
4,2118,2029,2198,2143,2260,2123
5,2067,1988,2155,2098,2191,2113
6,2042,1977,2091,2084,2181,2108
7,2039,1976,2075,2080,2174,2099
8,2023,1971,2059,2080,2156,2079
9,2010,1968,2027,2068,2145,2069
10,1987,1959,2012,2064,2091,2039
11,1966,1906,1984,2036,2073,2032
12,1965,1837,1973,2033,2053,2016
13,1930,1808,1956,2031,2034,2003
14,1909,1807,1915,2019,2032,1997
15,1903,1800,1909,2017,2029,1995
16,1899,1787,1905,2017,2014,1993
17,1881,1774,1904,2010,1987,1971
18,1871,1768,1881,2009,1970,1968
19,1864,1742,1851,2004,1961,1955
20,1862,1738,1844,1969,1922,1917
21,1861,1726,1832,1969,1917,1912
22,1860,1724,1829,1965,1916,1903
23,1856,1717,1813,1941,1915,1903
24,1835,1712,1811,1933,1909,1880
25,1831,1708,1806,1924,1908,1870
26,1812,1707,1801,1923,1902,1867
27,1808,1704,1796,1910,1884,1866
28,1808,1698,1793,1877,1883,1857
29,1804,1695,1792,1858,1875,1853
30,1803,1694,1785,1858,1871,1837
31,1802,1693,1754,1857,1868,1831
32,1801,1687,1749,1849,1858,1830
33,1800,1685,1738,1838,1853,1827
34,1794,1679,1726,1830,1847,1825
35,1783,1676,1720,1821,1843,1821
36,1777,1676,1720,1819,1839,1814
37,1767,1676,1715,1811,1837,1808
38,1765,1671,1715,1811,1830,1808
39,1760,1669,1714,1810,1823,1803
40,1749,1667,1698,1808,1810,1799
41,1748,1664,1698,1806,1810,1794
42,1747,1656,1692,1797,1808,1786
43,1744,1648,1691,1796,1804,1777
44,1741,1648,1690,1793,1796,1771
45,1739,1647,1689,1790,1788,1766
46,1730,1646,1677,1786,1783,1760
47,1726,1644,1677,1779,1780,1751
48,1723,1644,1673,1776,1779,1748
49,1721,1644,1672,1776,1767,1734
50,1712,1638,1672,1773,1765,1733
51,1711,1636,1666,1768,1763,1725
52,1705,1634,1666,1761,1759,1722
53,1701,1628,1665,1755,1743,1720
54,1701,1626.5,1664,1752,1739,1713
55,1696,1626,1660,1747,1730,1710
56,1695,1625,1659,1735,1729,1709
57,1694,1621,1656,1733,1726,1702
58,1686,1621,1651,1730,1726,1695
59,1685,1619,1650,1729,1714,1694
60,1682,1616,1642,1727,1711,1694
61,1676,1612,1638,1719,1707,1693
62,1672,1611,1638,1714,1706,1686
63,1671,1609,1638,1714,1702,1678
64,1670,1606,1635,1706,1700,1677
65,1668,1603,1635,1706,1698,1675
66,1667,1602,1627,1703,1697,1672
